time,BESS.terminal.V.im,case,parameter_value
0.0,6.198300000000002e-8,0p0,0.0
0.001,6.198299999999997e-8,0p0,0.0
0.002,6.198299999999982e-8,0p0,0.0
0.003,6.198299999999974e-8,0p0,0.0
0.004,6.198299999999969e-8,0p0,0.0
0.005,6.198299999999969e-8,0p0,0.0
0.006,6.19829999999997e-8,0p0,0.0
0.007,6.198299999999973e-8,0p0,0.0
0.008,6.198299999999973e-8,0p0,0.0
0.009,6.198299999999974e-8,0p0,0.0
0.01,6.198299999999977e-8,0p0,0.0
0.011,6.198299999999978e-8,0p0,0.0
0.012,6.198299999999978e-8,0p0,0.0
0.013,6.19829999999998e-8,0p0,0.0
0.014,6.19829999999998e-8,0p0,0.0
0.015,6.198299999999982e-8,0p0,0.0
0.016,6.198299999999982e-8,0p0,0.0
0.017,6.198299999999982e-8,0p0,0.0
0.018,6.198299999999982e-8,0p0,0.0
0.019,6.198299999999982e-8,0p0,0.0
0.02,6.198299999999985e-8,0p0,0.0
0.021,6.198299999999985e-8,0p0,0.0
0.022,6.198299999999985e-8,0p0,0.0
0.023,6.198299999999985e-8,0p0,0.0
0.024,6.198299999999985e-8,0p0,0.0
0.025,6.198299999999985e-8,0p0,0.0
0.026,6.198299999999985e-8,0p0,0.0
0.027,6.198299999999987e-8,0p0,0.0
0.028,6.198299999999987e-8,0p0,0.0
0.029,6.198299999999987e-8,0p0,0.0
0.03,6.198299999999989e-8,0p0,0.0
0.031,6.198299999999989e-8,0p0,0.0
0.032,6.198299999999989e-8,0p0,0.0
0.033,6.19829999999999e-8,0p0,0.0
0.034,6.19829999999999e-8,0p0,0.0
0.035,6.19829999999999e-8,0p0,0.0
0.036,6.19829999999999e-8,0p0,0.0
0.037,6.198299999999991e-8,0p0,0.0
0.038,6.198299999999991e-8,0p0,0.0
0.039,6.198299999999991e-8,0p0,0.0
0.04,6.198299999999993e-8,0p0,0.0
0.041,6.198299999999993e-8,0p0,0.0
0.042,6.198299999999993e-8,0p0,0.0
0.043,6.198299999999993e-8,0p0,0.0
0.044,6.198299999999993e-8,0p0,0.0
0.045,6.198299999999994e-8,0p0,0.0
0.046,6.198299999999994e-8,0p0,0.0
0.047,6.198299999999994e-8,0p0,0.0
0.048,6.198299999999994e-8,0p0,0.0
0.049,6.198299999999994e-8,0p0,0.0
0.05,6.198299999999994e-8,0p0,0.0
0.051,6.198299999999994e-8,0p0,0.0
0.052,6.198299999999994e-8,0p0,0.0
0.053,6.198299999999994e-8,0p0,0.0
0.054,6.198299999999995e-8,0p0,0.0
0.055,6.198299999999995e-8,0p0,0.0
0.056,6.198299999999995e-8,0p0,0.0
0.057,6.198299999999995e-8,0p0,0.0
0.058,6.198299999999995e-8,0p0,0.0
0.059,6.198299999999995e-8,0p0,0.0
0.06,6.198299999999995e-8,0p0,0.0
0.061,6.198299999999995e-8,0p0,0.0
0.062,6.198299999999997e-8,0p0,0.0
0.063,6.198299999999997e-8,0p0,0.0
